Year Rank,Title,Domestic Gross,Year,movieID,wt
73,Driven,32616869,2001,2077,32616869
36,The Expendables 2,85028192,2012,3133,85028192
23,Terminator Salvation,125322469,2009,2820,125322469
98,One for the Money,26414527,2012,3195,26414527
14,Robots,128200012,2005,2418,128200012
22,City Heat,38348988,1984,458,38348988
21,Traffic,124107476,2000,1925,124107476
100,Boyhood,25379975,2014,3397,25379975
2,Gladiator,187683805,2000,1906,187683805
20,Open Season,85105259,2006,2522,85105259
6,Pearl Harbor,198539855,2001,2010,198539855
13,A Beautiful Mind,170708996,2001,2017,170708996
31,Maid in Manhattan,93932896,2002,2135,93932896
84,A Walk to Remember,41227069,2002,2188,41227069
64,Changing Lanes,66790248,2002,2168,66790248
1,Pirates of the Caribbean: Dead Man’s Chest,423315812,2006,2503,423315812
83,What's the Worst That Could Happen?,32267774,2001,2087,32267774
12,City Slickers,124033791,1991,1028,124033791
40,Tammy,84525432,2014,3337,84525432
8,The Little Mermaid,111543479,1989,838,111543479
2,One Flew Over the Cuckoo's Nest,108981275,1975,2,108981275
12,The Amazing Spider-Man 2,202853933,2014,3309,202853933
13,The Pursuit of Happyness,162586036,2006,2515,162586036
70,The Island of Dr. Moreau,27682712,1996,1574,27682712
93,Snakes on a Plane,34020814,2006,2594,34020814
14,Another 48 Hrs.,80047413,1990,932,80047413
3,The Hunger Games,408010692,2012,3100,408010692
19,Entrapment,87707396,1999,1823,87707396
6,Cars,244082982,2006,2508,244082982
12,Spies Like Us,60083467,1985,522,60083467
29,Black Hawk Down,108638745,2001,2033,108638745
11,Broadcast News,51249404,1987,671,51249404
60,No Good Deed,52543632,2014,3357,52543632
19,The Last Airbender,131772187,2010,2916,131772187
1,Mission: Impossible 2,215409889,2000,1905,215409889
19,The Holiday,63280000,2006,2521,63280000
58,Prisoners,61002302,2013,3255,61002302
4,The Twilight Saga: New Moon,296623634,2009,2801,296623634
15,Working Girl,63800000,1988,759,63800000
4,Platoon,137963328,1986,594,137963328
