Year Rank,Artist,Title,Year,musicID,wt
24,Maxwell,Fortunate,1999,782,0.146167737147399
18,Maroon 5,One More Night,2012,1296,0.4204008207845
22,Drake,One Dance feat. Wizkid & Kyla,2016,1460,0.52403407880572
8,Red Hot Chili Peppers,Under The Bridge,1992,487,0.113023369883165
10,Sam Smith,Stay With Me,2014,1368,0.531667020799822
6,Janet Jackson,Together Again,1998,724,0.185813662954318
32,Blackbear,Do Re Mi,2017,1510,0.518600304189567
32,Coolio ft. L.V.,Gangsta's Paradise,1996,671,0.107750506606434
29,Best Friend (feat. Doja Cat),"Saweetie, Doja Cat",2021,1667,0.594767309212814
12,Rihanna,S&M,2011,1250,0.420194122134271
27,Fancy Like,Walker Hayes,2021,1665,0.601361715538137
27,Lewis Capaldi,Someone You Loved,2019,1585,0.576615694678602
13,LMFAO,Sexy and I Know It,2012,1291,0.444903480128819
11,Eve ft. Gwen Stefani,Let Me Blow Ya Mind,2001,849,0.20174861703144
38,Diddy,Dirty Money ft. Skylar Grey - Coming Home,2011,1276,0.342732385539674
3,Roddy Ricch,The Box,2020,1601,0.833997607917852
37,Enrique Iglesias,Be With You,2000,835,0.143774889281199
8,Bruno Mars,When I Was Your Man,2013,1326,0.517884698799027
27,Rihanna,Diamonds,2013,1345,0.420373058349411
23,Fifth Harmony,Worth It,2015,1421,0.491479617107823
34,Justin Timberlake,Can't Stop The Feeling,2016,1472,0.487841651236125
16,Dua   Lipa,New Rules,2018,1534,0.605402389442093
1,The Black Eyed Peas,Boom Boom Pow,2009,1159,0.570742929827157
21,Jann Arden,Insensitive,1996,660,0.119340135998594
7,Donna Lewis,I Love You Always Forever,1996,646,0.155777751222193
37,Lady Gaga,Applause,2013,1355,0.398260612986994
4,Mood (feat. iann dior),"24kgoldn, Iann Dior",2021,1642,0.807421159493316
11,Jennifer Lopez ft. Pitbull,On the Floor,2011,1249,0.426707336546255
11,Drake,Nice For What,2018,1529,0.642837720546389
6,Mariah Carey feat. Snoop Dogg,Say Somethin,2005,1004,0.306717191236207
17,A Great Big World,Say Something,2014,1375,0.486056488106923
22,Fergie,London Bridge,2006,1060,0.257078659433295
19,Rihanna,Sos (Rescue Me),2006,1057,0.264435127790087
26,Bruno Mars,Versace On The Floor,2017,1504,0.536366133359458
6,Walk The Moon,Shut Up And Dance,2015,1404,0.614848723227138
35,Nelly,Just A Dream,2010,1233,0.322280587807406
8,Chamillionaire ft. Krayzie Bone,Ridin,2006,1046,0.312331396420689
4,The Weeknd,Starboy feat. Daft Punk,2016,1442,0.693544620056778
14,Katy Perry,I Kissed A Girl,2008,1132,0.326787241065172
38,Cardi B,Money,2019,1596,0.546284933766637
